date,address,latitude,longitude,bph
2014-04-13,Khlong Luang Rice research Center,14.117,100.62,0
2014-04-14,Khlong Luang Rice research Center,14.117,100.62,0
2014-04-15,Khlong Luang Rice research Center,14.117,100.62,0
2014-04-16,Khlong Luang Rice research Center,14.117,100.62,0
2014-04-17,Khlong Luang Rice research Center,14.117,100.62,0
2014-04-18,Khlong Luang Rice research Center,14.117,100.62,0
2014-04-19,Khlong Luang Rice research Center,14.117,100.62,0
2014-04-20,Khlong Luang Rice research Center,14.117,100.62,0
2014-04-21,Khlong Luang Rice research Center,14.117,100.62,0
2014-04-22,Khlong Luang Rice research Center,14.117,100.62,0
2014-04-23,Khlong Luang Rice research Center,14.117,100.62,0
2014-04-24,Khlong Luang Rice research Center,14.117,100.62,0
2014-04-25,Khlong Luang Rice research Center,14.117,100.62,0
2014-04-26,Khlong Luang Rice research Center,14.117,100.62,0
2014-04-27,Khlong Luang Rice research Center,14.117,100.62,0
2014-04-28,Khlong Luang Rice research Center,14.117,100.62,0
2014-04-29,Khlong Luang Rice research Center,14.117,100.62,0
2014-04-30,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-01,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-02,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-03,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-04,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-05,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-06,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-07,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-08,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-09,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-10,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-11,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-12,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-13,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-14,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-15,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-16,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-17,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-18,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-19,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-20,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-21,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-22,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-23,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-24,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-25,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-26,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-27,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-28,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-29,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-30,Khlong Luang Rice research Center,14.117,100.62,0
2014-05-31,Khlong Luang Rice research Center,14.117,100.62,0
